run,task,quant_bits,n_eval,accuracy,macro_f1,rougeL
llama3b_4bit_replay0pct_medqa,medqa,4,100,53.0,52.61,
base_4bit_samsum,samsum,4,100,,,17.66
llama3b_4bit_replay0pct_samsum,samsum,4,100,,,45.03
llama3b_4bit_replay10pct_samsum,samsum,4,100,,,44.47
llama3b_4bit_replay20pct_samsum,samsum,4,100,,,44.9
llama3b_4bit_replay30pct_samsum,samsum,4,100,,,45.98
base_8bit_samsum,samsum,8,100,,,15.3
llama3b_8bit_replay0pct_samsum,samsum,8,100,,,45.63
llama3b_8bit_replay10pct_samsum,samsum,8,100,,,45.62
llama3b_8bit_replay20pct_samsum,samsum,8,100,,,44.31
llama3b_8bit_replay30pct_samsum,samsum,8,100,,,46.67
base_16bit_samsum,samsum,16,100,,,15.28
llama3b_16bit_replay0pct_samsum,samsum,16,100,,,46.57
llama3b_16bit_replay10pct_samsum,samsum,16,100,,,46.76
llama3b_16bit_replay20pct_samsum,samsum,16,100,,,45.94
llama3b_16bit_replay30pct_samsum,samsum,16,100,,,46.18
